organization,organization_domain,country_code,country_basis,country_source,higher_education,evidence_id
University of South Florida,usf.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://usf.edu/,True,cd6404ceed488caf
University at Buffalo,buffalo.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://buffalo.edu/,True,6b688043be12ecad
Georgia Institute of Technology,gatech.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://gatech.edu/,True,740d84a8a69580ce
University of Maryland,umd.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://umd.edu/,True,73ac424316052485
The University of Edinburgh,ed.ac.uk,UK,Institution home country / corporate headquarters; not the location of every access point,https://ed.ac.uk/,True,27a2603a9196075b
Columbia University,columbia.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://columbia.edu/,True,4810261b9d2e3108
Cornell University,cornell.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cornell.edu/,True,7dd71add61280ad7
Montgomery County Community College,mc3.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://mc3.edu/,True,1b0971a657c0490b
California State University Long Beach,csulb.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://csulb.edu/,True,d6a287922f93b838
Purdue University,purdue.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://purdue.edu/,True,8daf86708f7e0c39
William & Mary,wm.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://wm.edu/,True,12c0504c23132958
California State University Fresno,fresnostate.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://fresnostate.edu/,True,dfd29213c9993cea
"California State Polytechnic University, Pomona",cpp.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://cpp.edu/,True,c29232edaa10c780
Binghamton University,binghamton.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://binghamton.edu/,True,23c76ba2bef226b7
University of Michigan Flint,umflint.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://umflint.edu/,True,1d1967c834080a6b
University of North Carolina - Greensboro,uncg.edu,US,Institution home country / corporate headquarters; not the location of every access point,https://uncg.edu/,True,04dbc45fcfd99cf9
